source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,395036,"Rocky Mount, NC",msa,metro_40580,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,394617,"Fremont, NE",msa,metro_23340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NE
zillow,394595,"Flagstaff, AZ",msa,metro_22380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AZ
zillow,753884,"Hailey, ID",msa,metro_25200,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=ID
zillow,395136,"Sturgis, MI",msa,metro_44780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,395186,"Vermillion, SD",msa,metro_46820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SD
zillow,394299,"Abilene, TX",msa,metro_10180,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394623,"Gainesville, GA",msa,metro_23580,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394511,"Cullman, AL",msa,metro_18980,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AL
zillow,394556,"Edwards, CO",msa,metro_20780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CO
zillow,394550,"Dyersburg, TN",msa,metro_20540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TN
zillow,395126,"Statesboro, GA",msa,metro_44340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394796,"Lincoln, NE",msa,metro_30700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NE
zillow,394935,"Oklahoma City, OK",msa,metro_36420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OK
zillow,395080,"Sebring, FL",msa,metro_42700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,394507,"Crawfordsville, IN",msa,metro_18820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394498,"Cordele, GA",msa,metro_18380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
